sample,NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,GENUS,SPECIES,STATE_F,WATERSHED,WATER_NAME,grouping_v3,PCA_cluster,region
s0059,AP028681,AP302,7E,UVM_0001,4478,Alosa,pseudoharengus,Vermont,St. Lawrence River,Lake Champlain,MIDL,WRD,CAN-NNE
s0060,AP028682,AP302,7F,PEN-BLA_0001,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,MIDA,CST,MAT
s0061,AP028683,AP302,7G,PEN-BLA_0002,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,MIDA,CST,MAT
s0062,AP028684,AP302,7H,PEN-BLA_0003,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,MIDA,CST,MAT
s0063,AP028685,AP302,8A,PEN-BLA_0004,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,MIDA,CST,MAT
s0064,AP028686,AP302,8B,PEN-BLA_0005,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,MIDA,CST,MAT
s0065,AP028687,AP302,8C,PEN-BLA_0006,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,MIDA,CST,MAT
s0066,AP028688,AP302,8D,AHUNY30,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,MIDA,CST,MAT
s0067,AP028689,AP302,8E,AHUNY31,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,MIDA,CST,MAT
s0068,AP028690,AP302,8F,AHUNY32,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,MIDA,CST,MAT
s0069,AP028691,AP302,8G,AHUNY33,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,MIDA,CST,MAT
s0070,AP028692,AP302,8H,AHUNY34,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,MIDA,CST,MAT
s0071,AP028693,AP302,9A,AHUNY35,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,MIDA,CST,MAT
s0072,AP028694,AP302,9B,11MIR_0007,4478,Alosa,pseudoharengus,Canada,Miramichi River,Miramichi River,NATLA,CST,CAN
s0073,AP028695,AP302,9C,11MIR_0008,4478,Alosa,pseudoharengus,Canada,Miramichi River,Miramichi River,NATLA,CST,CAN
s0074,AP028696,AP302,9D,11MIR_0009,4478,Alosa,pseudoharengus,Canada,Miramichi River,Miramichi River,NATLA,CST,CAN
s0075,AP028697,AP302,9E,11MIR_0010,4478,Alosa,pseudoharengus,Canada,Miramichi River,Miramichi River,NATLA,CST,CAN
s0076,AP028698,AP302,9F,ASAME4,4478,Alosa,pseudoharengus,Maine,Saco River,Saco River,NATLA,CST,NNE
s0077,AP028700,AP302,9H,CP-7,4478,Alosa,pseudoharengus,Maryland,Choptank River,Choptank River,MIDA,CST,MAT
s0078,AP028701,AP302,10A,CP-8,4478,Alosa,pseudoharengus,Maryland,Choptank River,Choptank River,MIDA,CST,MAT
s0079,AP028703,AP302,10C,11PET_0002,4478,Alosa,aestivalis,Canada,Petitcodiac River,Petitcodiac River,BLUE,BLU,BCAN
s0080,AP028704,AP302,10D,BHUNY100,5618,Alosa,aestivalis,New York,Hudson River,Hudson River,BLUE,BLU,BMAT
s0081,AP028705,AP302,10E,BHUNY101,5618,Alosa,aestivalis,New York,Hudson River,Hudson River,BLUE,BLU,BMAT
s0082,AP028706,AP302,10F,BALGA15,4442,Alosa,aestivalis,Georgia,Altamaha River,Altamaha River,BLUE,BLU,BSAT
s0083,AP028707,AP302,10G,BALGA16,4442,Alosa,aestivalis,Georgia,Altamaha River,Altamaha River,BLUE,BLU,BSAT
s0084,AP028708,AP302,10H,LHAR_0032,4442,Alosa,aestivalis,Georgia,Savannah River,Lake Hartwell,BLUE,BLU,BSAT
s0085,AP028710,AP302,11B,LS_0004,4478,Alosa,pseudoharengus,Wisconsin,Great Lakes,Lake Superior,GRTL,LGL,GRT
s0086,AP028712,AP302,11D,KLVA39,4478,Alosa,hybrid,North Carolina,Roanoke River,Roanoke River,HYBR,WRD,MAT
s0087,AP028714,AP302,11F,SL_0043,4478,Alosa,pseudoharengus,New York,Finger Lakes,Seneca Lake,FINL,LGL,FIN
s0088,AP028715,AP302,11G,CL_0008,4478,Alosa,pseudoharengus,New York,Finger Lakes,Canandaigua Lake,FINL,LGL,FIN
s0089,AP028721,AP302,12E,ASAME6,4478,Alosa,pseudoharengus,Maine,Saco River,Saco River,NATLA,CST,NNE
s0090,AP028723,AP302,12G,11PET_0003,4442,Alosa,aestivalis,Canada,Petitcodiac River,Petitcodiac River,BLUE,BLU,BCAN
s0091,AP028725,AP303,1A,LM_0013,5618,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
s0092,AP028728,AP303,1D,LM_0056,5618,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
s0093,AP028731,AP303,1G,LO_014,5618,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,GRTL,LGL,GRT
s0094,AP028734,AP303,2B,SAC_042,5618,Alosa,pseudoharengus,Maine,Saco River,Saco River,NATLA,CST,NNE
