sample,NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,GENUS,SPECIES,STATE_F,WATERSHED,WATER_NAME,wn_abbr,region,ndata,nfiltered,nmiss,fmiss,nsites,depth
s0051,AP028673,AP302,6E,Q4,4478,Alosa,pseudoharengus,Connecticut,West River,Quonnipaug Lake,QUON,SNE,11884669,0,1761119,0.148184,11879904,3.72175
s0052,AP028674,AP302,6F,P14,4478,Alosa,pseudoharengus,Connecticut,Pattagansett River,Pattagansett Lake,PAT,SNE,11884669,0,2092770,0.17609,11880149,3.28203
s0053,AP028675,AP302,6G,P15,4478,Alosa,pseudoharengus,Connecticut,Pattagansett River,Pattagansett Lake,PAT,SNE,11884669,0,2249235,0.189255,11880916,3.36532
s0054,AP028676,AP302,6H,P16,4478,Alosa,pseudoharengus,Connecticut,Pattagansett River,Pattagansett Lake,PAT,SNE,11884669,0,2039776,0.171631,11880447,3.37777
s0055,AP028677,AP302,7A,R1,5618,Alosa,pseudoharengus,Connecticut,Connecticut,Rogers Lake,ROG,SNE,11884669,0,2261996,0.190329,11880986,3.28263
s0056,AP028678,AP302,7B,R2,5618,Alosa,pseudoharengus,Connecticut,Connecticut,Rogers Lake,ROG,SNE,11884669,0,2113600,0.177843,11880768,3.61257
s0057,AP028679,AP302,7C,R4,5618,Alosa,pseudoharengus,Connecticut,Connecticut,Rogers Lake,ROG,SNE,11884669,0,1576138,0.132619,11879724,4.23606
s0058,AP028680,AP302,7D,R5,5618,Alosa,pseudoharengus,Connecticut,Connecticut,Rogers Lake,ROG,SNE,11884669,0,1570990,0.132186,11880097,4.47864
s0059,AP028681,AP302,7E,UVM_0001,4478,Alosa,pseudoharengus,Vermont,St. Lawrence River,Lake Champlain,CHAM,CAN-NNE,11884669,0,2696925,0.226925,11881049,2.77278
s0060,AP028682,AP302,7F,PEN-BLA_0001,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,BLA,MAT,11884669,0,1892501,0.159239,11880843,3.49318
s0061,AP028683,AP302,7G,PEN-BLA_0002,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,BLA,MAT,11884669,0,2041111,0.171743,11881144,3.52403
